result_id,entity_id,entity_name,query,paper_id,title,published,updated,category_count,author_count,arxiv_url,pdf_url,fetched_at
arxiv_papers_openai,openai,OpenAI,"all:OpenAI AND all:""large language model""",2502.06807,Competitive Programming with Large Reasoning Models,2025-02-03T23:00:15Z,2025-02-18T22:21:40Z,3,12,https://arxiv.org/abs/2502.06807v2,https://arxiv.org/pdf/2502.06807v2,2026-07-04T15:25:15.984Z
arxiv_papers_openai,openai,OpenAI,"all:OpenAI AND all:""large language model""",2307.02288,"Performance Comparison of Large Language Models on VNHSGE English Dataset: OpenAI ChatGPT, Microsoft Bing Chat, and Google Bard",2023-07-05T13:40:57Z,2023-07-20T01:13:27Z,2,1,https://arxiv.org/abs/2307.02288v3,https://arxiv.org/pdf/2307.02288v3,2026-07-04T15:25:15.984Z
arxiv_papers_openai,openai,OpenAI,"all:OpenAI AND all:""large language model""",2411.10873,Developer Challenges on Large Language Models: A Study of Stack Overflow and OpenAI Developer Forum Posts,2024-11-16T19:38:27Z,2024-11-22T22:24:58Z,1,4,https://arxiv.org/abs/2411.10873v2,https://arxiv.org/pdf/2411.10873v2,2026-07-04T15:25:15.984Z
arxiv_papers_openai,openai,OpenAI,"all:OpenAI AND all:""large language model""",2310.10449,"Text Summarization Using Large Language Models: A Comparative Study of MPT-7b-instruct, Falcon-7b-instruct, and OpenAI Chat-GPT Models",2023-10-16T14:33:02Z,2023-10-17T19:54:16Z,3,2,https://arxiv.org/abs/2310.10449v2,https://arxiv.org/pdf/2310.10449v2,2026-07-04T15:25:15.984Z
arxiv_papers_openai,openai,OpenAI,"all:OpenAI AND all:""large language model""",2304.12244,WizardLM: Empowering large pre-trained language models to follow complex instructions,2023-04-24T16:31:06Z,2025-05-27T06:49:09Z,2,9,https://arxiv.org/abs/2304.12244v3,https://arxiv.org/pdf/2304.12244v3,2026-07-04T15:25:15.984Z
arxiv_papers_deepmind,deepmind,Google DeepMind,"all:DeepMind AND all:""artificial intelligence""",2011.07027,DeepMind Lab2D,2020-11-13T17:29:26Z,2020-12-12T20:56:32Z,1,4,https://arxiv.org/abs/2011.07027v2,https://arxiv.org/pdf/2011.07027v2,2026-07-04T15:25:15.984Z
arxiv_papers_deepmind,deepmind,Google DeepMind,"all:DeepMind AND all:""artificial intelligence""",1612.03801,DeepMind Lab,2016-12-12T17:32:49Z,2016-12-13T12:19:48Z,1,12,https://arxiv.org/abs/1612.03801v2,https://arxiv.org/pdf/1612.03801v2,2026-07-04T15:25:15.984Z
arxiv_papers_deepmind,deepmind,Google DeepMind,"all:DeepMind AND all:""artificial intelligence""",1801.00690,DeepMind Control Suite,2018-01-02T15:48:14Z,2018-01-02T15:48:14Z,1,12,https://arxiv.org/abs/1801.00690v1,https://arxiv.org/pdf/1801.00690v1,2026-07-04T15:25:15.984Z
arxiv_papers_deepmind,deepmind,Google DeepMind,"all:DeepMind AND all:""artificial intelligence""",2502.10303,Reinforcement Learning in Strategy-Based and Atari Games: A Review of Google DeepMinds Innovations,2025-02-14T17:06:34Z,2026-02-11T09:17:09Z,2,6,https://arxiv.org/abs/2502.10303v2,https://arxiv.org/pdf/2502.10303v2,2026-07-04T15:25:15.984Z
arxiv_papers_deepmind,deepmind,Google DeepMind,"all:DeepMind AND all:""artificial intelligence""",1605.04232,Review of state-of-the-arts in artificial intelligence with application to AI safety problem,2016-05-11T17:49:24Z,2016-12-06T09:29:12Z,1,1,https://arxiv.org/abs/1605.04232v2,https://arxiv.org/pdf/1605.04232v2,2026-07-04T15:25:15.984Z
arxiv_papers_nvidia,nvidia,NVIDIA,"all:NVIDIA AND all:GPU AND all:""artificial intelligence""",2503.11698,A Comparison of the Cerebras Wafer-Scale Integration Technology with Nvidia GPU-based Systems for Artificial Intelligence,2025-03-11T22:57:42Z,2025-03-11T22:57:42Z,1,7,https://arxiv.org/abs/2503.11698v1,https://arxiv.org/pdf/2503.11698v1,2026-07-04T15:25:15.984Z
arxiv_papers_nvidia,nvidia,NVIDIA,"all:NVIDIA AND all:GPU AND all:""artificial intelligence""",2503.20481,Analyzing Modern NVIDIA GPU cores,2025-03-26T12:10:53Z,2025-03-26T12:10:53Z,1,4,https://arxiv.org/abs/2503.20481v1,https://arxiv.org/pdf/2503.20481v1,2026-07-04T15:25:15.984Z
arxiv_papers_nvidia,nvidia,NVIDIA,"all:NVIDIA AND all:GPU AND all:""artificial intelligence""",2508.14444,NVIDIA Nemotron Nano 2: An Accurate and Efficient Hybrid Mamba-Transformer Reasoning Model,2025-08-20T06:00:57Z,2025-09-02T16:12:36Z,3,12,https://arxiv.org/abs/2508.14444v4,https://arxiv.org/pdf/2508.14444v4,2026-07-04T15:25:15.984Z
arxiv_papers_nvidia,nvidia,NVIDIA,"all:NVIDIA AND all:GPU AND all:""artificial intelligence""",2402.13499,Benchmarking and Dissecting the Nvidia Hopper GPU Architecture,2024-02-21T03:21:29Z,2024-02-21T03:21:29Z,1,6,https://arxiv.org/abs/2402.13499v1,https://arxiv.org/pdf/2402.13499v1,2026-07-04T15:25:15.984Z
arxiv_papers_nvidia,nvidia,NVIDIA,"all:NVIDIA AND all:GPU AND all:""artificial intelligence""",2601.20115,How Much Progress Has There Been in NVIDIA Datacenter GPUs?,2026-01-27T23:11:40Z,2026-05-29T18:27:35Z,2,4,https://arxiv.org/abs/2601.20115v3,https://arxiv.org/pdf/2601.20115v3,2026-07-04T15:25:15.984Z
