id,entity_id,entity_name,type,layer,status_text,country,website_url,alias_count,confidence,evidence_url,extraction_method,status,qid,created_at
candidate_entity_arxiv_author_research_author_arxiv_aarti_basant,research_author_arxiv_aarti_basant,Aarti Basant,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_abbas_abdolmaleki,research_author_arxiv_abbas_abdolmaleki,Abbas Abdolmaleki,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/1801.00690v1,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_abdelrhman_shaheen,research_author_arxiv_abdelrhman_shaheen,Abdelrhman Shaheen,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2502.10303v2,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_abhijit_khairnar,research_author_arxiv_abhijit_khairnar,Abhijit Khairnar,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_abhijit_paithankar,research_author_arxiv_abhijit_paithankar,Abhijit Paithankar,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_abhinav_khattar,research_author_arxiv_abhinav_khattar,Abhinav Khattar,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_adithya_renduchintala,research_author_arxiv_adithya_renduchintala,Adithya Renduchintala,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_aditya_malte,research_author_arxiv_aditya_malte,Aditya Malte,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_ahmed_el_kishky,research_author_arxiv_ahmed_el_kishky,Ahmed El-Kishky,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2502.06807v2,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.444Z
candidate_entity_arxiv_author_research_author_arxiv_akhiad_bercovich,research_author_arxiv_akhiad_bercovich,Akhiad Bercovich,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_akshay_hazare,research_author_arxiv_akshay_hazare,Akshay Hazare,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_alejandra_rico,research_author_arxiv_alejandra_rico,Alejandra Rico,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_aleksander_ficek,research_author_arxiv_aleksander_ficek,Aleksander Ficek,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2508.14444v4,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_alexander_wei,research_author_arxiv_alexander_wei,Alexander Wei,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2502.06807v2,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.444Z
candidate_entity_arxiv_author_research_author_arxiv_ali_abohendy,research_author_arxiv_ali_abohendy,Ali Abohendy,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2502.10303v2,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_alistair_muldal,research_author_arxiv_alistair_muldal,Alistair Muldal,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/1801.00690v1,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_amir_sadik,research_author_arxiv_amir_sadik,Amir Sadik,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/1612.03801v2,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_anas_badr,research_author_arxiv_anas_badr,Anas Badr,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2502.10303v2,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_andre_saraiva,research_author_arxiv_andre_saraiva,Andre Saraiva,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2502.06807v2,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.444Z
candidate_entity_arxiv_author_research_author_arxiv_andrew_lefrancq,research_author_arxiv_andrew_lefrancq,Andrew Lefrancq,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/1612.03801v2,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
candidate_entity_arxiv_author_research_author_arxiv_antonio_gonz_lez,research_author_arxiv_antonio_gonz_lez,Antonio González,research_author,ai_infra,research_author,,,1,0.52,https://arxiv.org/abs/2503.20481v1,arxiv_author_snapshot,candidate,,2026-07-05T07:10:14.445Z
