id,file,content_hash,archived_at,snapshot_generated_at,source_snapshot_generated_at,candidate_relationships,candidate_entities,candidate_metrics,retry_backlog
2026-07-04T07-55-27-802Z-3228681a3f07,candidate-snapshots/candidate-snapshot-2026-07-04T07-55-27-802Z-3228681a3f07.json,3228681a3f0770cf9fbae7ec78980fb3c66fce60cb386cbb002115c36e60d36c,2026-07-04T08:03:41.482Z,2026-07-04T07:55:27.802Z,2026-07-04T07:35:55.120Z,4,0,0,2
2026-07-04T08-20-50-483Z-b36afe50c008,candidate-snapshots/candidate-snapshot-2026-07-04T08-20-50-483Z-b36afe50c008.json,b36afe50c0085d325487a4b9f5c27fc3ceeb5fccaf5344cc7d80af30cc650d49,2026-07-04T08:21:04.169Z,2026-07-04T08:20:50.483Z,2026-07-04T07:35:55.120Z,4,0,0,0
2026-07-04T09-10-10-713Z-ab53fb09768c,candidate-snapshots/candidate-snapshot-2026-07-04T09-10-10-713Z-ab53fb09768c.json,ab53fb09768cf23c67f7424632429545394836541050435d896f8c07b7b38c8e,2026-07-04T09:11:52.900Z,2026-07-04T09:10:10.713Z,2026-07-04T07:35:55.120Z,4,5,0,0
2026-07-04T09-30-50-033Z-915cf6e696ae,candidate-snapshots/candidate-snapshot-2026-07-04T09-30-50-033Z-915cf6e696ae.json,915cf6e696aecc40cb74de7c2ad19cda87b45c6953975b0633e0aeaf5ff66c80,2026-07-04T09:31:02.182Z,2026-07-04T09:30:50.033Z,2026-07-04T07:35:55.120Z,4,42,0,0
2026-07-04T09-47-08-016Z-27a40554d8c0,candidate-snapshots/candidate-snapshot-2026-07-04T09-47-08-016Z-27a40554d8c0.json,27a40554d8c03d18cc0e565f69134caac8d7c00f1bf80730943d40e56da9f7a2,2026-07-04T09:47:22.563Z,2026-07-04T09:47:08.016Z,2026-07-04T07:35:55.120Z,4,51,0,0
2026-07-04T09-52-45-334Z-4da1f5ac18e9,candidate-snapshots/candidate-snapshot-2026-07-04T09-52-45-334Z-4da1f5ac18e9.json,4da1f5ac18e9333e2fb0bfef8b324d8aa7e679f717dd6493ed5f5d67a05926c5,2026-07-04T09:52:51.713Z,2026-07-04T09:52:45.334Z,2026-07-04T07:35:55.120Z,4,51,0,0
2026-07-04T10-00-57-504Z-56beeab0868e,candidate-snapshots/candidate-snapshot-2026-07-04T10-00-57-504Z-56beeab0868e.json,56beeab0868ee5d750e731f081629197bd9ce77b92c72fac5912ec57c2107ac8,2026-07-04T10:01:34.848Z,2026-07-04T10:00:57.504Z,2026-07-04T07:35:55.120Z,51,51,0,0
2026-07-04T15-25-47-749Z-21bc0f490af6,candidate-snapshots/candidate-snapshot-2026-07-04T15-25-47-749Z-21bc0f490af6.json,21bc0f490af6e533986f650e9fd37b1301a8a5aa49f67ef34e0acba549d9ce61,2026-07-04T15:26:01.405Z,2026-07-04T15:25:47.749Z,2026-07-04T07:35:55.120Z,406,399,0,0
2026-07-04T17-48-01-814Z-46c32427b92a,candidate-snapshots/candidate-snapshot-2026-07-04T17-48-01-814Z-46c32427b92a.json,46c32427b92a7d2f2cb1b8496a9551b68e5d11c5de3a09a51a783a374c46db0c,2026-07-04T17:48:19.806Z,2026-07-04T17:48:01.814Z,2026-07-04T07:35:55.120Z,406,399,1,0
2026-07-05T05-05-41-112Z-0236100e382b,candidate-snapshots/candidate-snapshot-2026-07-05T05-05-41-112Z-0236100e382b.json,0236100e382ba74603f8fc29a312dc3df7b75765024ce1c586aad49792d9653a,2026-07-05T05:06:04.629Z,2026-07-05T05:05:41.112Z,2026-07-04T07:35:55.120Z,404,398,0,0
2026-07-05T05-14-15-134Z-613cc0970a9a,candidate-snapshots/candidate-snapshot-2026-07-05T05-14-15-134Z-613cc0970a9a.json,613cc0970a9a669ef46045f0ca6e02b559264e634b843d80a49434f921171f69,2026-07-05T05:14:26.774Z,2026-07-05T05:14:15.134Z,2026-07-04T07:35:55.120Z,404,398,0,0
2026-07-05T05-21-05-080Z-d8eb7ab284f0,candidate-snapshots/candidate-snapshot-2026-07-05T05-21-05-080Z-d8eb7ab284f0.json,d8eb7ab284f01d00307164396f9d814fa8a9ff1024b8022df368981af0192c2a,2026-07-05T05:21:17.433Z,2026-07-05T05:21:05.080Z,2026-07-04T07:35:55.120Z,404,398,0,0
2026-07-05T05-41-10-365Z-c5a6000aa12d,candidate-snapshots/candidate-snapshot-2026-07-05T05-41-10-365Z-c5a6000aa12d.json,c5a6000aa12def35c96fc215c3a99abf74b7f8ef774a3c9f34507953ecdde581,2026-07-05T05:41:44.629Z,2026-07-05T05:41:10.365Z,2026-07-04T07:35:55.120Z,404,398,1,0
2026-07-05T06-03-34-260Z-9d79dd52698b,candidate-snapshots/candidate-snapshot-2026-07-05T06-03-34-260Z-9d79dd52698b.json,9d79dd52698be96fb68bc0b933e1eb8a81f3fdbbe2e9287c64b7cd91d38667f0,2026-07-05T06:03:45.981Z,2026-07-05T06:03:34.260Z,2026-07-04T07:35:55.120Z,404,398,3,0
2026-07-05T06-07-35-979Z-554ab1d0b998,candidate-snapshots/candidate-snapshot-2026-07-05T06-07-35-979Z-554ab1d0b998.json,554ab1d0b998ef97f1e23f34458d043143021cf27178b77d918ae782cde5ffda,2026-07-05T06:07:46.790Z,2026-07-05T06:07:35.979Z,2026-07-04T07:35:55.120Z,401,398,3,0
2026-07-05T06-40-48-236Z-3beb6c891bd9,candidate-snapshots/candidate-snapshot-2026-07-05T06-40-48-236Z-3beb6c891bd9.json,3beb6c891bd9436861e05dfdf6a3aa499cc370f0155ed1691a3b9c4f67c129b7,2026-07-05T06:40:57.574Z,2026-07-05T06:40:48.236Z,2026-07-04T07:35:55.120Z,401,398,3,0
2026-07-05T06-45-51-757Z-e741b1bd4935,candidate-snapshots/candidate-snapshot-2026-07-05T06-45-51-757Z-e741b1bd4935.json,e741b1bd493565c4a63658715cf1e3114f92f5014dc94288d781dbc46b870036,2026-07-05T06:46:03.339Z,2026-07-05T06:45:51.757Z,2026-07-04T07:35:55.120Z,401,398,3,0
2026-07-05T06-54-28-103Z-5f62a4970cb2,candidate-snapshots/candidate-snapshot-2026-07-05T06-54-28-103Z-5f62a4970cb2.json,5f62a4970cb26310ddae4f5a652d4415fe0a2a17e9a1c0c8dc9a7ad7abca20e4,2026-07-05T06:54:34.651Z,2026-07-05T06:54:28.103Z,2026-07-04T07:35:55.120Z,401,398,5,0
2026-07-05T07-10-39-616Z-cb63d678d51e,candidate-snapshots/candidate-snapshot-2026-07-05T07-10-39-616Z-cb63d678d51e.json,cb63d678d51e6d01d2970ced6dc78b0921e737d28c25dd2c34d02497089a46f6,2026-07-05T07:10:49.980Z,2026-07-05T07:10:39.616Z,2026-07-04T07:35:55.120Z,401,398,5,0
